Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Company,Sector,Market Cap,Forward PE,EPS,Revenue,Net Income,Profit Margin,Return on Equity
2020-03-16,58.47034454345703,60.5525016784668,64.7699966430664,60.0,60.48749923706055,322423600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-17,61.04129409790039,63.21500015258789,64.40249633789062,59.59999847412109,61.87749862670898,324056000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-18,59.5470085144043,61.66749954223633,62.5,59.27999877929688,59.942501068115234,300233600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-19,59.09075546264648,61.19499969482422,63.209999084472656,60.65250015258789,61.84749984741211,271857200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-20,55.33934783935547,57.310001373291016,62.95750045776367,57.0,61.79499816894531,401693200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-23,54.1637077331543,56.09249877929688,57.125,53.15250015258789,57.02000045776367,336752800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-24,59.59770965576172,61.720001220703125,61.92250061035156,58.57500076293945,59.09000015258789,287531200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-25,59.26938629150391,61.380001068115234,64.5625,61.07500076293945,62.6875,303602000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-26,62.388328552246094,64.61000061035156,64.66999816894531,61.59000015258789,61.630001068115234,252087200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-27,59.80530548095703,61.935001373291016,63.96749877929688,61.76250076293945,63.1875,204216800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-30,61.51202774047852,63.70249938964844,63.880001068115234,62.34999847412109,62.685001373291016,167976400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
