Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-10-22,297.2678527832031,299.1236063471209,295.96015129406624,298.4601455444869,17449300
2021-10-25,296.2774353027344,297.4985727507945,294.6716608327069,297.46010317986077,17554500
2021-10-26,298.1813049316406,300.3832260837612,296.7294084953105,299.03708430610516,28107300
2021-10-27,310.73895263671875,313.55624018654,303.8447410132644,303.8447410132644,52588700
2021-10-28,311.87353515625,312.37352223466706,308.9985287602132,311.8542856977465,26297900
2021-10-29,318.86383056640625,319.22921810139104,311.44078853801216,311.66195187331414,34766000
2021-11-01,316.70037841796875,318.7388253494163,313.8157770598035,318.6138212622399,27073200
2021-11-02,320.3158874511719,320.6235854325772,317.30628075988244,317.6043540094643,26487100
2021-11-03,321.15234375,322.01771844825345,317.9311991041292,321.0561844849301,21500100
2021-11-04,323.49853515625,323.59469443504923,316.8351108815185,320.0851008365663,23992200
2021-11-05,323.13311767578125,325.75811609186775,321.556217155061,325.4888877422965,22570100
2021-11-08,324.0273132324219,324.6619291544204,321.57541342152103,324.32538640649415,20897000
2021-11-09,323.0273132324219,325.6907514710201,321.6619222348102,324.1426666918192,21307400
2021-11-10,318.0754699707031,321.7581620227062,317.2293446076053,321.7004723239425,25500900
2021-11-11,319.6426696777344,320.9311214307009,317.796541239689,318.5080668518854,16849800
2021-11-12,323.7677001953125,324.258091880674,320.9504128741325,321.07541697774906,23831000
2021-11-15,323.1427001953125,324.88307418193443,321.18116285112575,324.5561561818509,16723000
2021-11-16,326.4504089355469,327.5657918667416,322.60427303916015,322.7677173822912,20886800
2021-11-17,326.6719970703125,329.6293143564149,325.59311335095464,326.49861134342495,19053400
2021-11-18,328.7430419921875,329.87975024868393,324.74538130798175,325.76646969293915,22463500
2021-11-19,330.5155029296875,332.43247631359634,329.6389320213559,330.06278336471644,21963400
2021-11-22,327.3558654785156,336.8346949958714,327.0861445993955,331.9700474366429,31031100
2021-11-23,325.2847595214844,326.98980687418253,321.31599723176595,324.6778802533964,30427600
2021-11-24,325.5063781738281,325.7472014512142,321.65320573565054,323.9362057016911,21661300
2021-11-26,317.57843017578125,325.52559745058403,316.07569544288083,322.07702143466366,24217200
2021-11-29,324.27337646484375,326.585274135935,322.4527383080336,322.64540869619697,28563500
2021-11-30,318.4551086425781,325.3811893890692,316.9138335793029,323.0114962502423,42885600
2021-12-01,317.9637451171875,326.8260526046821,317.2990999831267,322.82839247617034,33337600
2021-12-02,317.39532470703125,321.2484957788597,315.76735757739476,318.17558949728755,30766000
2021-12-03,311.1533203125,320.48763300351385,306.3561099885442,319.8036737217345,41779300
2021-12-06,314.2165832519531,315.43034198292435,307.512071408828,312.05881608344686,30032600
2021-12-07,322.6261291503906,323.4738023613807,317.9830494801912,319.46652904482426,31021900
2021-12-08,322.67425537109375,323.1847994820111,318.6573106513333,323.0017714613644,24761000
2021-12-09,320.8729553222656,324.13850382611764,319.92891744874584,322.1348670016077,22214200
2021-12-10,329.9664611816406,330.4095678226741,322.5009388766094,322.6839669365227,38095700
2021-12-13,326.941650390625,331.17052092748463,326.63338956387594,328.17466430025087,28899400
2021-12-14,316.2876281738281,322.3563918673137,312.2128880966609,320.98850283752,44438700
2021-12-15,322.36602783203125,322.8862143337398,312.5886088133381,316.54772931653724,35381100
2021-12-16,312.97393798828125,324.3986100132093,311.16294216598374,323.38713456911813,35034800
2021-12-17,311.9142761230469,312.99318902693045,305.6047184390456,309.10147689497717,47750300
2021-12-20,308.16705322265625,310.9509545801387,305.912951232269,308.30189894992657,28326500
2021-12-21,315.2761535644531,315.70000480849893,308.0610694765146,311.42298181666746,24740600
2021-12-22,320.96923828125,321.3641625402389,313.7926936963985,316.24907907920306,24831500
2021-12-23,322.4045715332031,324.04218156998655,320.5165252794348,320.5357805584728,19617800
2021-12-27,329.8797912597656,329.9086888818995,323.1174537066625,323.1463513287964,19947000
